,0,1,2,3,4,5,6,7,8,9
27,0.20333034,0.14707148,0.07107713,0.07223788,0.08982393,0.032729834,0.10236126,0.035029978,0.15189266,0.388506
28,0.17784733,0.13469678,0.065071054,0.05634518,0.08191466,0.058699816,0.028344959,0.062902,0.19195402,0.46386826
29,0.22197539,0.17372265,0.27625075,0.2665223,0.4348212,0.3031375,0.26351705,0.18737617,0.3224803,0.5861445
30,0.244314,0.26697946,0.17871436,0.25031585,0.36594263,0.40428495,0.281375,0.124097675,0.08001882,0.4319256
31,0.11761879,0.040828407,0.026886746,0.052547373,0.03217502,0.0028036237,0.085262604,0.08523458,0.22182658,0.44260332
0,0.1418333,0.07973143,0.0064143986,0.06460248,0.11972676,0.13806751,0.1506013,0.04855463,0.17147934,0.45114607
1,0.1513828,0.08409811,0.19278285,0.0854262,0.1822008,0.2867913,0.109408945,0.1609535,0.15358937,0.41816926
2,0.20845917,0.18136251,0.22305363,0.20072375,0.22970177,0.30968654,0.20307946,0.10779089,0.22767434,0.44619933
3,0.16629773,0.13300407,0.15415555,0.18605763,0.25306755,0.21055079,0.032705456,0.02250421,0.17612305,0.6133485
4,0.069322586,0.12613349,0.16525929,0.26869524,0.23277704,0.31342945,0.05314669,0.006755799,0.1784342,0.525555
5,0.05024059,0.08729386,0.070341796,0.036077656,0.06909389,0.0693896,0.039430887,0.11170858,0.050770223,0.29691908
6,0.16358083,0.0967538,0.07173908,0.17233992,0.20197694,0.20003712,0.077869326,0.22581172,0.12521327,0.4582096
7,0.11156102,0.073901586,0.085461974,0.04510294,0.01921834,0.054698735,0.06583187,0.023330063,0.13319874,0.46218166
8,0.25293624,0.1858427,0.1975277,0.28760895,0.33559275,0.26086357,0.1947195,0.12474972,0.3655913,0.5786348
9,0.19427718,0.12595278,0.18050155,0.21866764,0.17783141,0.11466092,0.036788434,0.04521787,0.13877806,0.49043393
10,0.14585443,0.18937108,0.15827683,0.34759063,0.20260322,0.2366955,0.013899803,0.03938231,0.20646945,0.5131053
